title,description,priority,tags
Broken classroom windows,The area near Sector 5 is suffering due to broken classroom windows. Immediate attention is needed.,low,['education']
Pothole,Authorities are yet to act on the pothole problem outside Building 14.,medium,"['transport', 'road']"
Street in darkness,Citizens have complained about street in darkness near the lake. It has been ignored for days.,high,['streetlight']
Flickering light,Citizens have complained about flickering light near the lake. It has been ignored for days.,medium,"['infrastructure', 'public safety', 'streetlight']"
Missing bus route board,The area at the bus depot is suffering due to missing bus route board. Immediate attention is needed.,low,"['transport', 'road']"
Flickering light,"A case of flickering light has emerged behind the hospital, disrupting daily activities.",medium,"['infrastructure', 'public safety', 'streetlight']"
Clogged drainage,"Clogged drainage reported outside the railway station, causing inconvenience and safety concerns.",high,"['health', 'sanitation']"
Tree fallen on road,Citizens have complained about tree fallen on road behind the hospital. It has been ignored for days.,low,['environment']
Faded zebra crossing,"Faded zebra crossing reported at the community center, causing inconvenience and safety concerns.",low,['road']
Clogged drainage,"Clogged drainage reported in the market area, causing inconvenience and safety concerns.",high,"['health', 'sanitation', 'environment']"
Clogged drainage,"A case of clogged drainage has emerged near Sector 5, disrupting daily activities.",high,"['health', 'sanitation']"
Polluted water body,There has been a persistent issue with polluted water body near Sector 5. Residents are concerned.,low,['environment']
Overflowing bins,Authorities are yet to act on the overflowing bins problem at the community center.,low,"['environment', 'sanitation', 'garbage']"
Polluted water body,"A case of polluted water body has emerged outside Building 14, disrupting daily activities.",low,['environment']
Tree fallen on road,"Tree fallen on road reported in the market area, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'environment']"
Frequent theft reports,"Frequent theft reports reported by the school gate, causing inconvenience and safety concerns.",low,['public safety']
Non-functional streetlight,There has been a persistent issue with non-functional streetlight at the community center. Residents are concerned.,medium,['streetlight']
Broken classroom windows,There has been a persistent issue with broken classroom windows behind the hospital. Residents are concerned.,low,"['infrastructure', 'health', 'education']"
Broken bench,"Broken bench reported by the school gate, causing inconvenience and safety concerns.",medium,"['infrastructure', 'public safety', 'environment']"
Damaged bus stop,"Damaged bus stop reported by the school gate, causing inconvenience and safety concerns.",low,['transport']
No water supply,"A case of no water supply has emerged behind the hospital, disrupting daily activities.",low,"['health', 'water']"
Street in darkness,"Street in darkness reported near Sector 5, causing inconvenience and safety concerns.",high,"['infrastructure', 'public safety', 'streetlight']"
Dirty public toilet,"Dirty public toilet reported outside Building 14, causing inconvenience and safety concerns.",low,"['health', 'environment']"
Mosquito breeding site,"A case of mosquito breeding site has emerged in the residential colony, disrupting daily activities.",low,"['health', 'sanitation']"
Broken bench,The area at the community center is suffering due to broken bench. Immediate attention is needed.,medium,"['infrastructure', 'public safety', 'environment']"
School without drinking water,The area outside Building 14 is suffering due to school without drinking water. Immediate attention is needed.,low,"['infrastructure', 'health', 'education']"
Flickering light,"A case of flickering light has emerged in the residential colony, disrupting daily activities.",medium,"['public safety', 'streetlight']"
Tree fallen on road,"A case of tree fallen on road has emerged in the residential colony, disrupting daily activities.",low,"['sanitation', 'environment']"
Unsafe footpath,"Unsafe footpath reported in the market area, causing inconvenience and safety concerns.",high,"['infrastructure', 'public safety', 'health']"
Dark alley,"A case of dark alley has emerged near the lake, disrupting daily activities.",high,['public safety']
Missing bus route board,Authorities are yet to act on the missing bus route board problem near the lake.,low,"['transport', 'infrastructure', 'road']"
Flickering light,Citizens have complained about flickering light in the market area. It has been ignored for days.,medium,"['infrastructure', 'streetlight']"
Waste dumped on street,Citizens have complained about waste dumped on street near the lake. It has been ignored for days.,low,"['environment', 'garbage']"
Sparking transformer,Authorities are yet to act on the sparking transformer problem at the bus depot.,high,['electricity']
Waste dumped on street,There has been a persistent issue with waste dumped on street outside Building 14. Residents are concerned.,low,['garbage']
Fallen signboard,Authorities are yet to act on the fallen signboard problem near Sector 5.,low,"['infrastructure', 'public safety', 'environment']"
Damaged bus stop,The area outside the railway station is suffering due to damaged bus stop. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
Damaged bus stop,Authorities are yet to act on the damaged bus stop problem in the market area.,low,"['transport', 'infrastructure', 'road']"
Street in darkness,The area by the school gate is suffering due to street in darkness. Immediate attention is needed.,high,"['infrastructure', 'public safety', 'streetlight']"
Non-functional streetlight,"A case of non-functional streetlight has emerged at the bus depot, disrupting daily activities.",medium,['streetlight']
Polluted water body,There has been a persistent issue with polluted water body at the community center. Residents are concerned.,low,['environment']
Power outage,The area by the school gate is suffering due to power outage. Immediate attention is needed.,high,"['electricity', 'infrastructure']"
Power outage,There has been a persistent issue with power outage in the market area. Residents are concerned.,high,['electricity']
Sparking transformer,There has been a persistent issue with sparking transformer at the bus depot. Residents are concerned.,high,"['electricity', 'public safety']"
Faded zebra crossing,Authorities are yet to act on the faded zebra crossing problem outside the railway station.,low,"['transport', 'infrastructure', 'road']"
Damaged road,The area at the bus depot is suffering due to damaged road. Immediate attention is needed.,low,"['transport', 'road']"
Open sewage,Citizens have complained about open sewage by the school gate. It has been ignored for days.,high,"['health', 'sanitation']"
Pothole,"A case of pothole has emerged behind the hospital, disrupting daily activities.",medium,['road']
Pipe leakage,Citizens have complained about pipe leakage near the lake. It has been ignored for days.,low,"['sanitation', 'water']"
Open sewage,"Open sewage reported in the residential colony, causing inconvenience and safety concerns.",high,"['sanitation', 'environment']"
Cracked pavement,"A case of cracked pavement has emerged near Sector 5, disrupting daily activities.",low,"['transport', 'road']"
Broken classroom windows,There has been a persistent issue with broken classroom windows by the school gate. Residents are concerned.,low,"['health', 'education']"
Clogged drainage,Authorities are yet to act on the clogged drainage problem at the bus depot.,high,['sanitation']
Bad smell from drains,There has been a persistent issue with bad smell from drains outside the railway station. Residents are concerned.,low,"['health', 'sanitation', 'environment']"
Mosquito breeding site,Authorities are yet to act on the mosquito breeding site problem near Sector 5.,low,"['health', 'environment']"
No water supply,"No water supply reported in the residential colony, causing inconvenience and safety concerns.",low,['water']
Open sewage,The area outside Building 14 is suffering due to open sewage. Immediate attention is needed.,high,['sanitation']
Unsafe footpath,There has been a persistent issue with unsafe footpath in the market area. Residents are concerned.,high,['public safety']
Polluted water body,"Polluted water body reported in the market area, causing inconvenience and safety concerns.",low,['environment']
Dark alley,There has been a persistent issue with dark alley at the community center. Residents are concerned.,high,"['public safety', 'health']"
Waste dumped on street,The area at the community center is suffering due to waste dumped on street. Immediate attention is needed.,low,"['environment', 'garbage']"
Damaged bus stop,The area in the residential colony is suffering due to damaged bus stop. Immediate attention is needed.,low,"['transport', 'infrastructure']"
Overflowing bins,Citizens have complained about overflowing bins at the community center. It has been ignored for days.,low,"['environment', 'garbage']"
Open sewage,The area outside Building 14 is suffering due to open sewage. Immediate attention is needed.,high,['sanitation']
Frequent voltage drops,The area at the bus depot is suffering due to frequent voltage drops. Immediate attention is needed.,low,"['electricity', 'public safety']"
Signal blocked by trees,"Signal blocked by trees reported in the residential colony, causing inconvenience and safety concerns.",medium,"['transport', 'public safety', 'signal']"
Tree fallen on road,"A case of tree fallen on road has emerged at the bus depot, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
School without drinking water,The area near Sector 5 is suffering due to school without drinking water. Immediate attention is needed.,low,['education']
Signal blocked by trees,"Signal blocked by trees reported at the bus depot, causing inconvenience and safety concerns.",medium,"['transport', 'public safety', 'signal']"
Damaged bus stop,The area in the market area is suffering due to damaged bus stop. Immediate attention is needed.,low,['transport']
Polluted water body,"Polluted water body reported outside Building 14, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'environment']"
Pipe leakage,Authorities are yet to act on the pipe leakage problem in the market area.,low,['water']
Damaged bus stop,There has been a persistent issue with damaged bus stop near Sector 5. Residents are concerned.,low,"['transport', 'infrastructure']"
Signal blocked by trees,Authorities are yet to act on the signal blocked by trees problem outside Building 14.,medium,"['transport', 'public safety', 'signal']"
No water supply,"No water supply reported near the lake, causing inconvenience and safety concerns.",low,['water']
Pipe leakage,"Pipe leakage reported at the bus depot, causing inconvenience and safety concerns.",low,"['sanitation', 'water']"
Contaminated water,Authorities are yet to act on the contaminated water problem in the residential colony.,low,"['health', 'sanitation', 'water']"
Dark alley,Citizens have complained about dark alley near the lake. It has been ignored for days.,high,"['infrastructure', 'public safety']"
Pipe leakage,"Pipe leakage reported in the market area, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'water']"
School without drinking water,"A case of school without drinking water has emerged behind the hospital, disrupting daily activities.",low,"['infrastructure', 'health', 'education']"
Faded zebra crossing,"A case of faded zebra crossing has emerged in the residential colony, disrupting daily activities.",low,"['transport', 'infrastructure', 'road']"
Open sewage,There has been a persistent issue with open sewage in the market area. Residents are concerned.,high,"['health', 'sanitation', 'environment']"
Cracked pavement,Authorities are yet to act on the cracked pavement problem behind the hospital.,low,"['transport', 'infrastructure', 'road']"
Clogged drainage,Citizens have complained about clogged drainage at the community center. It has been ignored for days.,high,"['health', 'sanitation', 'environment']"
Sparking transformer,"Sparking transformer reported near the lake, causing inconvenience and safety concerns.",high,['electricity']
Dirty public toilet,Citizens have complained about dirty public toilet in the market area. It has been ignored for days.,low,['health']
Power outage,The area outside Building 14 is suffering due to power outage. Immediate attention is needed.,high,['electricity']
Faded zebra crossing,There has been a persistent issue with faded zebra crossing outside the railway station. Residents are concerned.,low,"['transport', 'infrastructure', 'road']"
Faded zebra crossing,Citizens have complained about faded zebra crossing by the school gate. It has been ignored for days.,low,"['transport', 'road']"
Uncollected garbage,There has been a persistent issue with uncollected garbage outside the railway station. Residents are concerned.,medium,"['environment', 'sanitation', 'garbage']"
Faded zebra crossing,Citizens have complained about faded zebra crossing near the lake. It has been ignored for days.,low,"['transport', 'road']"
Waste dumped on street,The area behind the hospital is suffering due to waste dumped on street. Immediate attention is needed.,low,['garbage']
Frequent voltage drops,There has been a persistent issue with frequent voltage drops near Sector 5. Residents are concerned.,low,"['electricity', 'infrastructure', 'public safety']"
Dirty public toilet,Authorities are yet to act on the dirty public toilet problem by the school gate.,low,['health']
Clogged drainage,Citizens have complained about clogged drainage at the bus depot. It has been ignored for days.,high,"['health', 'sanitation', 'environment']"
Faded zebra crossing,There has been a persistent issue with faded zebra crossing at the bus depot. Residents are concerned.,low,"['transport', 'infrastructure', 'road']"
Pothole,There has been a persistent issue with pothole outside Building 14. Residents are concerned.,medium,"['infrastructure', 'road']"
Uncollected garbage,The area at the community center is suffering due to uncollected garbage. Immediate attention is needed.,medium,"['environment', 'sanitation', 'garbage']"
Damaged wall,The area near the lake is suffering due to damaged wall. Immediate attention is needed.,low,"['infrastructure', 'public safety', 'environment']"
Damaged bus stop,Authorities are yet to act on the damaged bus stop problem outside the railway station.,low,['transport']
Fallen signboard,There has been a persistent issue with fallen signboard by the school gate. Residents are concerned.,low,['infrastructure']
Malfunctioning traffic signal,Citizens have complained about malfunctioning traffic signal in the residential colony. It has been ignored for days.,medium,"['public safety', 'signal']"
Open sewage,There has been a persistent issue with open sewage outside Building 14. Residents are concerned.,high,"['health', 'sanitation', 'environment']"
Malfunctioning traffic signal,Citizens have complained about malfunctioning traffic signal outside the railway station. It has been ignored for days.,medium,"['transport', 'public safety', 'signal']"
Dirty public toilet,"Dirty public toilet reported near Sector 5, causing inconvenience and safety concerns.",low,['health']
Broken classroom windows,The area behind the hospital is suffering due to broken classroom windows. Immediate attention is needed.,low,"['infrastructure', 'health', 'education']"
School without drinking water,Authorities are yet to act on the school without drinking water problem by the school gate.,low,['education']
Frequent theft reports,There has been a persistent issue with frequent theft reports in the residential colony. Residents are concerned.,low,"['infrastructure', 'public safety', 'health']"
No water supply,"A case of no water supply has emerged behind the hospital, disrupting daily activities.",low,['water']
Damaged bus stop,There has been a persistent issue with damaged bus stop at the bus depot. Residents are concerned.,low,"['transport', 'infrastructure']"
Polluted water body,Authorities are yet to act on the polluted water body problem in the market area.,low,"['health', 'sanitation', 'environment']"
Missing bus route board,"Missing bus route board reported at the community center, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
Clogged drainage,There has been a persistent issue with clogged drainage behind the hospital. Residents are concerned.,high,"['health', 'sanitation', 'environment']"
No water supply,Authorities are yet to act on the no water supply problem near Sector 5.,low,"['sanitation', 'water']"
Fallen signboard,Citizens have complained about fallen signboard near Sector 5. It has been ignored for days.,low,['infrastructure']
Pothole,The area outside the railway station is suffering due to pothole. Immediate attention is needed.,medium,"['transport', 'infrastructure', 'road']"
Sparking transformer,The area near the lake is suffering due to sparking transformer. Immediate attention is needed.,high,['electricity']
Bad smell from drains,"A case of bad smell from drains has emerged in the market area, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Tree fallen on road,Citizens have complained about tree fallen on road outside Building 14. It has been ignored for days.,low,['environment']
School without drinking water,The area in the market area is suffering due to school without drinking water. Immediate attention is needed.,low,"['infrastructure', 'health', 'education']"
Damaged bus stop,"A case of damaged bus stop has emerged in the market area, disrupting daily activities.",low,"['transport', 'infrastructure', 'road']"
Polluted water body,The area near Sector 5 is suffering due to polluted water body. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Tree fallen on road,Citizens have complained about tree fallen on road at the bus depot. It has been ignored for days.,low,"['health', 'sanitation', 'environment']"
Uncollected garbage,"A case of uncollected garbage has emerged near the lake, disrupting daily activities.",medium,"['sanitation', 'garbage']"
Damaged road,Authorities are yet to act on the damaged road problem outside the railway station.,low,"['transport', 'infrastructure', 'road']"
Damaged road,The area in the residential colony is suffering due to damaged road. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
Broken classroom windows,Citizens have complained about broken classroom windows outside the railway station. It has been ignored for days.,low,['education']
Dirty public toilet,There has been a persistent issue with dirty public toilet in the residential colony. Residents are concerned.,low,"['health', 'sanitation', 'environment']"
Mosquito breeding site,"A case of mosquito breeding site has emerged near Sector 5, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Damaged road,Authorities are yet to act on the damaged road problem in the residential colony.,low,['road']
Malfunctioning traffic signal,Authorities are yet to act on the malfunctioning traffic signal problem outside Building 14.,medium,"['transport', 'public safety', 'signal']"
Flickering light,Citizens have complained about flickering light outside the railway station. It has been ignored for days.,medium,"['infrastructure', 'streetlight']"
School without drinking water,"A case of school without drinking water has emerged outside Building 14, disrupting daily activities.",low,"['health', 'education']"
Bad smell from drains,Authorities are yet to act on the bad smell from drains problem behind the hospital.,low,['sanitation']
Frequent theft reports,Citizens have complained about frequent theft reports outside the railway station. It has been ignored for days.,low,['public safety']
Frequent voltage drops,"A case of frequent voltage drops has emerged near Sector 5, disrupting daily activities.",low,"['electricity', 'public safety']"
Unsafe footpath,"A case of unsafe footpath has emerged near the lake, disrupting daily activities.",high,"['infrastructure', 'public safety', 'health']"
Fallen signboard,Authorities are yet to act on the fallen signboard problem outside the railway station.,low,['infrastructure']
Open sewage,"A case of open sewage has emerged near Sector 5, disrupting daily activities.",high,['sanitation']
Damaged bus stop,"A case of damaged bus stop has emerged by the school gate, disrupting daily activities.",low,['transport']
No water supply,Citizens have complained about no water supply at the bus depot. It has been ignored for days.,low,"['health', 'water']"
Damaged road,Citizens have complained about damaged road at the bus depot. It has been ignored for days.,low,['road']
Signal blocked by trees,Authorities are yet to act on the signal blocked by trees problem in the residential colony.,medium,"['public safety', 'signal']"
Polluted water body,There has been a persistent issue with polluted water body by the school gate. Residents are concerned.,low,['environment']
Overflowing bins,Citizens have complained about overflowing bins at the bus depot. It has been ignored for days.,low,"['sanitation', 'garbage']"
Broken bench,Citizens have complained about broken bench at the community center. It has been ignored for days.,medium,"['infrastructure', 'environment']"
Overflowing bins,Authorities are yet to act on the overflowing bins problem by the school gate.,low,"['sanitation', 'garbage']"
Pothole,Citizens have complained about pothole outside the railway station. It has been ignored for days.,medium,['road']
Uncollected garbage,Authorities are yet to act on the uncollected garbage problem near Sector 5.,medium,"['environment', 'sanitation', 'garbage']"
Contaminated water,"Contaminated water reported behind the hospital, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'water']"
Broken classroom windows,The area outside the railway station is suffering due to broken classroom windows. Immediate attention is needed.,low,"['infrastructure', 'education']"
Tree fallen on road,Authorities are yet to act on the tree fallen on road problem in the market area.,low,"['health', 'sanitation', 'environment']"
Power outage,There has been a persistent issue with power outage behind the hospital. Residents are concerned.,high,"['electricity', 'infrastructure', 'public safety']"
Unsafe footpath,The area at the community center is suffering due to unsafe footpath. Immediate attention is needed.,high,"['infrastructure', 'public safety']"
Frequent theft reports,There has been a persistent issue with frequent theft reports near Sector 5. Residents are concerned.,low,['public safety']
Frequent voltage drops,"A case of frequent voltage drops has emerged at the community center, disrupting daily activities.",low,['electricity']
School without drinking water,Citizens have complained about school without drinking water at the community center. It has been ignored for days.,low,['education']
Frequent theft reports,"Frequent theft reports reported near the lake, causing inconvenience and safety concerns.",low,['public safety']
Damaged road,The area outside Building 14 is suffering due to damaged road. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
Mosquito breeding site,The area near the lake is suffering due to mosquito breeding site. Immediate attention is needed.,low,['health']
Broken classroom windows,Citizens have complained about broken classroom windows in the residential colony. It has been ignored for days.,low,['education']
Power outage,Citizens have complained about power outage behind the hospital. It has been ignored for days.,high,['electricity']
Dirty public toilet,"A case of dirty public toilet has emerged at the community center, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Non-functional streetlight,Authorities are yet to act on the non-functional streetlight problem outside the railway station.,medium,['streetlight']
Bad smell from drains,Citizens have complained about bad smell from drains behind the hospital. It has been ignored for days.,low,['sanitation']
Sparking transformer,Citizens have complained about sparking transformer at the community center. It has been ignored for days.,high,"['electricity', 'infrastructure', 'public safety']"
Fallen signboard,Authorities are yet to act on the fallen signboard problem in the market area.,low,"['infrastructure', 'public safety']"
Unsafe footpath,"A case of unsafe footpath has emerged by the school gate, disrupting daily activities.",high,"['infrastructure', 'public safety', 'health']"
Dark alley,Authorities are yet to act on the dark alley problem at the bus depot.,high,"['public safety', 'health']"
Frequent voltage drops,There has been a persistent issue with frequent voltage drops near the lake. Residents are concerned.,low,"['electricity', 'public safety']"
Waste dumped on street,There has been a persistent issue with waste dumped on street behind the hospital. Residents are concerned.,low,['garbage']
Signal blocked by trees,Citizens have complained about signal blocked by trees at the community center. It has been ignored for days.,medium,['signal']
Pipe leakage,"A case of pipe leakage has emerged in the residential colony, disrupting daily activities.",low,"['health', 'sanitation', 'water']"
Dirty public toilet,"Dirty public toilet reported outside the railway station, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'environment']"
Signal blocked by trees,There has been a persistent issue with signal blocked by trees at the bus depot. Residents are concerned.,medium,"['transport', 'public safety', 'signal']"
Clogged drainage,The area outside Building 14 is suffering due to clogged drainage. Immediate attention is needed.,high,['sanitation']
Flickering light,Authorities are yet to act on the flickering light problem at the community center.,medium,['streetlight']
Missing bus route board,There has been a persistent issue with missing bus route board near the lake. Residents are concerned.,low,['transport']
Flickering light,There has been a persistent issue with flickering light near the lake. Residents are concerned.,medium,"['infrastructure', 'streetlight']"
Polluted water body,"A case of polluted water body has emerged by the school gate, disrupting daily activities.",low,"['health', 'environment']"
Missing bus route board,There has been a persistent issue with missing bus route board by the school gate. Residents are concerned.,low,"['transport', 'infrastructure', 'road']"
Malfunctioning traffic signal,There has been a persistent issue with malfunctioning traffic signal in the market area. Residents are concerned.,medium,"['transport', 'signal']"
Damaged bus stop,Citizens have complained about damaged bus stop in the residential colony. It has been ignored for days.,low,"['transport', 'road']"
Overflowing bins,The area at the community center is suffering due to overflowing bins. Immediate attention is needed.,low,"['environment', 'sanitation', 'garbage']"
Mosquito breeding site,There has been a persistent issue with mosquito breeding site by the school gate. Residents are concerned.,low,['health']
Damaged bus stop,Citizens have complained about damaged bus stop outside Building 14. It has been ignored for days.,low,['transport']
Mosquito breeding site,Citizens have complained about mosquito breeding site in the residential colony. It has been ignored for days.,low,"['health', 'sanitation', 'environment']"
Malfunctioning traffic signal,There has been a persistent issue with malfunctioning traffic signal outside the railway station. Residents are concerned.,medium,['signal']
Broken classroom windows,There has been a persistent issue with broken classroom windows at the bus depot. Residents are concerned.,low,"['infrastructure', 'health', 'education']"
Malfunctioning traffic signal,The area by the school gate is suffering due to malfunctioning traffic signal. Immediate attention is needed.,medium,"['transport', 'public safety', 'signal']"
Flickering light,"A case of flickering light has emerged near Sector 5, disrupting daily activities.",medium,"['public safety', 'streetlight']"
Tree fallen on road,There has been a persistent issue with tree fallen on road outside Building 14. Residents are concerned.,low,"['sanitation', 'environment']"
Open sewage,There has been a persistent issue with open sewage near the lake. Residents are concerned.,high,"['sanitation', 'environment']"
Power outage,Citizens have complained about power outage in the market area. It has been ignored for days.,high,['electricity']
School without drinking water,There has been a persistent issue with school without drinking water outside the railway station. Residents are concerned.,low,['education']
School without drinking water,There has been a persistent issue with school without drinking water outside Building 14. Residents are concerned.,low,['education']
Power outage,"Power outage reported outside the railway station, causing inconvenience and safety concerns.",high,"['electricity', 'infrastructure']"
Frequent theft reports,Authorities are yet to act on the frequent theft reports problem near the lake.,low,"['infrastructure', 'public safety']"
Signal blocked by trees,Citizens have complained about signal blocked by trees at the bus depot. It has been ignored for days.,medium,"['transport', 'public safety', 'signal']"
Tree fallen on road,The area near Sector 5 is suffering due to tree fallen on road. Immediate attention is needed.,low,"['health', 'environment']"
Pothole,"Pothole reported by the school gate, causing inconvenience and safety concerns.",medium,"['infrastructure', 'road']"
School without drinking water,"A case of school without drinking water has emerged near Sector 5, disrupting daily activities.",low,"['infrastructure', 'health', 'education']"
Flickering light,Authorities are yet to act on the flickering light problem outside the railway station.,medium,"['infrastructure', 'public safety', 'streetlight']"
Mosquito breeding site,"Mosquito breeding site reported by the school gate, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'environment']"
Faded zebra crossing,There has been a persistent issue with faded zebra crossing outside the railway station. Residents are concerned.,low,['road']
Signal blocked by trees,"A case of signal blocked by trees has emerged behind the hospital, disrupting daily activities.",medium,"['public safety', 'signal']"
Power outage,"Power outage reported near the lake, causing inconvenience and safety concerns.",high,['electricity']
Faded zebra crossing,Citizens have complained about faded zebra crossing in the market area. It has been ignored for days.,low,['road']
Open sewage,The area near the lake is suffering due to open sewage. Immediate attention is needed.,high,"['health', 'sanitation', 'environment']"
Damaged road,The area by the school gate is suffering due to damaged road. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
Signal blocked by trees,"Signal blocked by trees reported in the residential colony, causing inconvenience and safety concerns.",medium,"['transport', 'public safety', 'signal']"
Broken classroom windows,The area at the community center is suffering due to broken classroom windows. Immediate attention is needed.,low,"['infrastructure', 'health', 'education']"
Tree fallen on road,"Tree fallen on road reported in the market area, causing inconvenience and safety concerns.",low,['environment']
Missing bus route board,"A case of missing bus route board has emerged near Sector 5, disrupting daily activities.",low,"['transport', 'infrastructure', 'road']"
Pipe leakage,Authorities are yet to act on the pipe leakage problem in the residential colony.,low,"['health', 'sanitation', 'water']"
Fallen signboard,There has been a persistent issue with fallen signboard in the residential colony. Residents are concerned.,low,"['infrastructure', 'public safety', 'environment']"
Bad smell from drains,"Bad smell from drains reported in the market area, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'environment']"
Broken classroom windows,"Broken classroom windows reported by the school gate, causing inconvenience and safety concerns.",low,"['health', 'education']"
Waste dumped on street,"Waste dumped on street reported near Sector 5, causing inconvenience and safety concerns.",low,"['environment', 'garbage']"
Dark alley,"Dark alley reported outside the railway station, causing inconvenience and safety concerns.",high,['public safety']
Frequent theft reports,"Frequent theft reports reported behind the hospital, causing inconvenience and safety concerns.",low,['public safety']
Tree fallen on road,"A case of tree fallen on road has emerged at the bus depot, disrupting daily activities.",low,['environment']
Malfunctioning traffic signal,Citizens have complained about malfunctioning traffic signal by the school gate. It has been ignored for days.,medium,"['transport', 'public safety', 'signal']"
Non-functional streetlight,There has been a persistent issue with non-functional streetlight outside the railway station. Residents are concerned.,medium,"['infrastructure', 'public safety', 'streetlight']"
Power outage,There has been a persistent issue with power outage in the residential colony. Residents are concerned.,high,"['electricity', 'infrastructure']"
Power outage,"A case of power outage has emerged outside the railway station, disrupting daily activities.",high,['electricity']
Tree fallen on road,"Tree fallen on road reported outside Building 14, causing inconvenience and safety concerns.",low,"['health', 'environment']"
Cracked pavement,"Cracked pavement reported near the lake, causing inconvenience and safety concerns.",low,"['infrastructure', 'road']"
Flickering light,Citizens have complained about flickering light behind the hospital. It has been ignored for days.,medium,"['infrastructure', 'streetlight']"
Non-functional streetlight,"Non-functional streetlight reported at the community center, causing inconvenience and safety concerns.",medium,"['infrastructure', 'public safety', 'streetlight']"
No water supply,There has been a persistent issue with no water supply near the lake. Residents are concerned.,low,['water']
Signal blocked by trees,"A case of signal blocked by trees has emerged by the school gate, disrupting daily activities.",medium,"['transport', 'signal']"
Waste dumped on street,"Waste dumped on street reported by the school gate, causing inconvenience and safety concerns.",low,['garbage']
No water supply,The area near Sector 5 is suffering due to no water supply. Immediate attention is needed.,low,"['health', 'sanitation', 'water']"
Signal blocked by trees,The area in the residential colony is suffering due to signal blocked by trees. Immediate attention is needed.,medium,"['transport', 'public safety', 'signal']"
Pipe leakage,"A case of pipe leakage has emerged near the lake, disrupting daily activities.",low,"['sanitation', 'water']"
Malfunctioning traffic signal,Citizens have complained about malfunctioning traffic signal outside Building 14. It has been ignored for days.,medium,['signal']
Broken classroom windows,The area near Sector 5 is suffering due to broken classroom windows. Immediate attention is needed.,low,"['infrastructure', 'health', 'education']"
Waste dumped on street,Citizens have complained about waste dumped on street behind the hospital. It has been ignored for days.,low,"['sanitation', 'garbage']"
Missing bus route board,"A case of missing bus route board has emerged outside the railway station, disrupting daily activities.",low,"['transport', 'infrastructure', 'road']"
Broken classroom windows,"Broken classroom windows reported near the lake, causing inconvenience and safety concerns.",low,"['infrastructure', 'education']"
Bad smell from drains,Citizens have complained about bad smell from drains by the school gate. It has been ignored for days.,low,"['health', 'sanitation', 'environment']"
Dirty public toilet,There has been a persistent issue with dirty public toilet in the market area. Residents are concerned.,low,"['health', 'sanitation']"
Polluted water body,"A case of polluted water body has emerged at the community center, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Polluted water body,Citizens have complained about polluted water body outside the railway station. It has been ignored for days.,low,"['health', 'sanitation', 'environment']"
Polluted water body,The area outside Building 14 is suffering due to polluted water body. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Non-functional streetlight,Authorities are yet to act on the non-functional streetlight problem at the community center.,medium,"['public safety', 'streetlight']"
Damaged wall,"Damaged wall reported near the lake, causing inconvenience and safety concerns.",low,"['infrastructure', 'public safety']"
Dark alley,Authorities are yet to act on the dark alley problem at the community center.,high,"['infrastructure', 'public safety', 'health']"
Broken bench,The area near Sector 5 is suffering due to broken bench. Immediate attention is needed.,medium,['infrastructure']
Dark alley,Authorities are yet to act on the dark alley problem outside Building 14.,high,"['infrastructure', 'public safety', 'health']"
Malfunctioning traffic signal,"A case of malfunctioning traffic signal has emerged at the bus depot, disrupting daily activities.",medium,['signal']
Overflowing bins,"Overflowing bins reported at the bus depot, causing inconvenience and safety concerns.",low,['garbage']
School without drinking water,"School without drinking water reported behind the hospital, causing inconvenience and safety concerns.",low,"['infrastructure', 'education']"
Tree fallen on road,"Tree fallen on road reported near the lake, causing inconvenience and safety concerns.",low,"['health', 'environment']"
Fallen signboard,The area near the lake is suffering due to fallen signboard. Immediate attention is needed.,low,['infrastructure']
Fallen signboard,There has been a persistent issue with fallen signboard behind the hospital. Residents are concerned.,low,['infrastructure']
No water supply,The area outside the railway station is suffering due to no water supply. Immediate attention is needed.,low,"['health', 'sanitation', 'water']"
School without drinking water,The area in the residential colony is suffering due to school without drinking water. Immediate attention is needed.,low,"['infrastructure', 'health', 'education']"
Polluted water body,Authorities are yet to act on the polluted water body problem in the residential colony.,low,"['health', 'environment']"
Broken classroom windows,Authorities are yet to act on the broken classroom windows problem by the school gate.,low,"['infrastructure', 'education']"
